node_index,osm_id,x_meters,y_meters,lon,lat
55,12229971970,693203.632429146,4796356.591331747,5.381747600000001,43.29524399999999
56,12362108695,693215.6847335377,4796311.6019015955,5.38188024396864,43.294836144824586
57,414760781,693256.0547788127,4796161.384118585,5.382324699999999,43.29347429999999
58,12362108701,693249.1620610482,4796186.376230371,5.3822485851485915,43.2937009189069
59,12362108707,693218.1272297647,4796373.065847248,5.381931923706772,43.29538849865437
60,12362108709,693197.4432194649,4796380.322356386,5.381679703309894,43.29545909224571
61,21313798,692812.3945035891,4796127.178408875,5.3768481999999995,43.293280300000006
62,12362108712,692835.2085697675,4796135.130213321,5.377131985422319,43.29334599872979
63,12362108721,692803.98411888,4796151.425517265,5.376753110726612,43.29350060167457
64,25339392,693040.5812815962,4796206.558284361,5.379686599999999,43.29393599999999
65,12362108726,693065.3259864707,4796215.327222219,5.379994457719893,43.29400854809666
66,12362108734,693049.5088758133,4796184.112590985,5.379788681926528,43.29373177057448
67,25311145,692762.7077319751,4796272.926659598,5.376287299999999,43.2946043
68,1147608753,692737.046760619,4796263.1377616925,5.3759678,43.294522799999996
69,12362108738,692786.4812547498,4796281.511155392,5.376583130650897,43.29467544654113
70,21313802,692501.6336735892,4795971.75632642,5.3729662,43.2919615
71,21313822,692472.1263475647,4795961.270137813,5.3725990999999995,43.2918747
72,12362108756,692510.6987544032,4795946.6167612495,5.373069052187797,43.29173300443644
73,12362108758,692469.8271228012,4795932.216908592,5.3725606148364,43.29161389883081
74,25471125,692528.8245478942,4795896.336055079,5.3732747,43.291275999999996
75,12362108760,692549.9119244406,4795903.840643692,5.373537049233684,43.29133812592311
76,21313803,692851.7827885663,4796011.847947727,5.3772929000000005,43.2922326
77,12362108763,692843.5694421646,4796036.176748852,5.3772002693174334,43.29245358651977
78,12362108765,692875.0768328123,4796020.1942033265,5.3775827309700635,43.292301723614116
79,25311166,692827.0859765778,4796084.815022463,5.377014299999999,43.29289539999999
80,12362108774,692799.7810671849,4796075.423790202,5.376674699588404,43.292817900515175
81,12362108775,692819.7402400835,4796105.996715669,5.376931250250088,43.293087850026986
82,26190692,693085.0825243733,4796094.275674406,5.380195299999999,43.292914399999994
83,12362108776,693107.69265884,4796102.202309044,5.380476566327854,43.292979916230784
84,25471124,692465.2249591232,4795874.110745025,5.372483599999999,43.29109230000001
85,12362108781,692486.4248220469,4795881.51918171,5.372747299494433,43.291153533954834
86,25311143,692694.1259785695,4796246.755834794,5.375433400000001,43.2943864
87,12362108783,692686.7274567679,4796268.697485149,5.375349959490942,43.29458569974412
88,12362108787,692670.4816842726,4796238.017305307,5.375139109729778,43.294313831523425
89,12362108789,692715.585651582,4796254.948681574,5.375700591529323,43.29445461744762
90,25311161,692661.6230557817,4796027.922373636,5.374956400000001,43.2924259
91,12362108790,692670.0144404721,4796002.622327841,5.375050891465166,43.29219613138067
92,12362108792,692636.4713093049,4796018.898034952,5.374643452897355,43.292351144311134
93,25471127,692686.7994327564,4795952.022973895,5.3752399,43.29173659999999
94,12362108794,692709.0853149015,4795960.110742059,5.375517218832782,43.29180366137595
95,25471077,692586.0998697716,4796001.066356604,5.374016799999999,43.29220360000001
96,12362108798,692564.9823002319,4795993.741792307,5.373754137715114,43.29214310266574
97,1850590672,692772.4761577918,4796066.03255794,5.3763351,43.2927404
98,12362108801,692750.3040099102,4796058.414966311,5.376059341659352,43.29267754174278
99,25471102,692380.1862397738,4796025.570517494,5.371489199999999,43.2924767
100,12362108805,692371.9722016007,4796048.801212778,5.371396155144772,43.29268780293405
101,25471126,692613.1740540803,4795926.354409532,5.3743241,43.29152450000001
102,12362108808,692637.690903057,4795934.982143177,5.374629083825972,43.291595850901
103,12362108810,692603.6446176164,4795951.045280013,5.374215376496022,43.29174907850498
104,713400908,692798.2288434822,4795992.461814714,5.3766265,43.292071899999996
105,12362108812,692789.6437153032,4796016.98508058,5.376529356153661,43.29229473080164
106,12362108814,692825.0055133861,4796002.155741463,5.376959696154092,43.29215225831356
107,26190693,693220.7693067004,4796141.759887668,5.3818832,43.293306799999996
108,414760779,693231.0033594377,4796153.000106174,5.3820132,43.2934053
109,26491389,692862.4945740523,4797182.406418261,5.3778354,43.3027612
